Document_ID,Cleaned_Data,Sentiment
Review 23,excel teléfono may buena la clara lo recommend 100,Positive
Review 24,son love phone problem set anyth work perfect brand new appl box well,Positive
Review 25,receiv phone friday day earlier expectedand absolut love came genet box appl compat charg cabl scratch imperfect see time batteri capac 100 look work like brand new devic,Positive
Review 26,everi thing right batteri came 100 capac arriv 4 day earli foot got color devic storag order there scratch bare screen prove use peel screen protector came could put temper glass one there invis screen protector phone light fast in happi doubt buy phone weren enough review use entir like new although dont get undo experi buy brand new earbud agent includ in happi got discount didn buy new one one sit around get scrape part someth honestli drop 690 buck thing donna go ballist didn show came earli in reliev happi absolut beauti also batteri life phone great came 2016 se big chang,Neutral
Review 27,stop around lot renew refurbish phone 11 cheapest realli close sell point come 90 day warranti refund polici sold amazon prime receiv phone 4 day ago upgrad transfer everyth phone 7 11 fearlessli plu phone cosmet issu look brand new bought refurbish phone 7 11 work perfectli,Positive
Review 28,phone come origin phone box nice bonu differ compani send unlock phone normal cardboard box work perfectli,Positive
Review 29,work total fine far in satisfi function didn come earphon,Neutral
Review 30,far buy product specif seller experi great noth complain scratch glass display mention weren back glass camera lens either far phone in andro person first smartphon happen phone gone coupl gener in plea say devic feel great still phone mustn give full 5 star review andro gang,Positive
Review 31,scar repeat scar love phone alway want nice good work phone know wont take dump singl mon need tabl keep touch school grand anyth happen in awar right away love phone scratch king like brand new look new work like new come screen protector love batteri capac 100 killer deal price kind phone well worth came two day amazon prime earlier said would happi highli recommend,Positive
Review 32,bought refurbish in assum open box item seem 100brand new would recommend seller,Positive
Review 33,ok,Neutral
Review 34,recommend,Neutral
Review 35,phone great plea excus somewhat flurri pick shake hand batteri health alreadi 100 bare cosmet damag save super tini littl nick top bare notic unless shine camera directli area also phone came preinstal screen protector guess bit minu doesn come headphon alreadi airport doesn bother someth keep mind purchas anyth amazon renew phone came four day earli done,Positive
Review 36,plea phone came screen protector alreadi even well place cuff phone serious like brand new batteri 99 skeptic bunch 1 star review figur would tri 90 day guarante return dont feel scare deal tri plea got black 256gb unlock phone 11 foi,Positive
Review 37,never bought use phone give never bought one onlin alway went carrier howev time readi save money get unlock phone littl nervou research took risk sinc time return full refund didn work phone came perfect condit work like new can tell differ phone brand new one give use 4 day give issu definit worth risk,Neutral
Review 38,part everyth okaydiffer part screen wont work certain time lock clock phone constantli nd hope work afterwhil write review can even hit bottom right corner add punctuat unless come autocorrectwhen contract compani told hard rest work afterthat work le day dont want hard rest phone everi day work spent seven hundr dollarsc even use numer charactersupd reach say advic didn work haven receiv respons week,Negetive
Review 39,your think buy buy right phone 7 want anoth phone year come took two month buy much money boy never happi can express happi thank am compani everyth transfer le 15 mind activ retro pu within 10min small hand sometim hard hold one hand hata camera awesom sound awesom color greatest fast date came screen protector buy anoth one get good case got mine retro order one red bubbl watch hair fast due buy sap you love call cool drop in dead zone that servic obvious turn phone the weird of buy real appl charg got mine member 20 charg phone fast batteri life 100 last 11 hour die,Neutral
Review 40,got batteri life last phone ll ve start take figur could easili tri current phone sell didn like pleasantli surpris pretti much everyth phone offer go start batteri life surpris come phone day one old phone would get max 6 hour sot screen time phone would die typic enough go am pm enough left feel worri die middl day prior buy phone batteri life drop roughli 354 hour sot dyingthi new refurbish know phone easili get 8 hour sot easili go even higher depend in go full two day without charg that bluetooth 247 say happi batteri understatementth featur also pretti good anyth blow water definit least good competit face clock assum go terribl much better expect would still prefer fast fingerprint senior thing job almost well instanc refus recogn first attempt uncommon camera good would expect modern smartphon sever extra featur actual use certain circumstanceslong stori short definit stick phone forese futur,Positive
Review 41,35 month phone complet dead charg took appl store told would replac with order receiv earli octob 2020 start charg issu last week complet dead wouldn know past return date mere 12 day come amazon sold product need stand behind least replac refund someth last day longer return window is,Neutral
Review 42,great phone initi bought one daughter end order one,Positive
Review 43,well got phone 11 yesterday current right shut everi 510 mind tri multipl time contact carrier haven remain back noth spent 700 phone id like get least phone convers dont even want money back want phone fix honestli great phone think get better technic work phone caus even call appl see recommend that said ab technic in disappoint excit feel grip,Negetive
Review 44,can send messag anyon doesn phone power button doesn work correctli often time sir doesn respond way get issu correct without phone seller send new one id never buy compani,Negetive
Review 45,amaz buy kiss electron issu phone oper far receiv set packag nice came adapt charg cabl head phone product red bodi good condit small scratch upper corner happi purchas,Positive
Review 46,work great,Positive
Review 47,absolut happi purchas give gone review readi order right thing batteri health 84 seen other 100 fine noth go get new batteri time come see pictur phone great condit annnndddd unlock use phone servic in dig pictur qualiti especi upbraid phone x differ upgrad phone make came cut case plu charg your look phone id say go in day 1 in excit updat april with in 1 month phone still work great issu,Neutral
Review 48,big thank sell phone amazon want phone bad couldn get hand anywher unlock glad could buy amazon get everyth knew reliabl phone come appl phone box box charg headphon could care le want phone work great wouldn even know differ sinc told friend famili look new phone plu much cheaper found anywher el plea got exactli want amaz deal,Neutral
Review 49,scratch damag screen matter part phone happi took plung bought phone well worth faro scratch debt anywherebatteri capac 100unlock everyth advertis,Neutral
Review 50,appl phone 11 64gb red fulli unlock renew arriv two day nice packag look brand new one bare notic scratch screen tini scratch side notic hold realli close face overal in satisfi give phone 24 hour work realli well fast batteri still go sinc charg yesterday current 29 unusu chang occur near futur ill updat review doubt sinc phone near perfect condit,Positive
Review 51,sister absolut love phone surpris gave fast ship pack great,Positive
Review 52,terrifi refurbish qualiti control point inspectional indic better insur everi product purchas brand buyspri name suggest break quickli hope one lucki one buy second hand receiv product function last assur guarante wish care within initi return period often 30 day even small issu need address issu whatev may prove fatal due time almost devic programm break 30 day person case phone purchas week normal use suffer critic issu custom servic respond recent messag via email speak phone state resolut would refund back devic hope lucki case exchang push brace longer promis time receiv new product chanc turn groundhog day hope receiv work product enduresoveral enterpris busi solut would place reserv replac increas servic abil send new product promissori receiv broken product fill void keep custom whole resolv issu leav custom loafer devic would increas reput make tabl room short peopl hey would purchas confid premis right buy organ plan gift plea love one favor keep buyer mediocr busi risk buy someth new cheapskat good luck stay healthi,Positive
Review 53,camera came slightli scratch overal good purchas,Neutral
Review 54,refurbish phone dont mind didn come origin box phone good shape skeptic buy phone amazon sinc first time buy phone onlin good condit crack scratch look brand new seem work fine hope stay way need see till work carrier came screen protector nice touch realli happi productupd month two still work realli great matter life long charg super fast highli recommend,Neutral
Review 55,slight micro scratch screen overal good condit open box,Neutral
Review 56,medium could load lock screen flicker get flurri everyth el seem fine tri start work,Neutral
Review 57,came perfect condit scratch noth wrong batteri life 100 percent complaint one thing notic pp snapchat itchi phone tri edit someth stori discard 30 second didn come earphon peopl know phone 11 headphon jack crucial buy phone get everyth like new also charg probabl foot long like play game chang music in lay can charg short last least get phone instruct horribl tell download pp stitch phone dont instead look video onlin insert him card phone turn phone instruct set appl repeat use instruct provid twitch andro appl take longer set phone need appl id also need save contact write even save contact him card insert none crucial rememb contact,Negetive
Review 58,receiv phone crack screen want big deal someth camera though compar boyfriend phone order one appl think replac differ one biggest problem phone kept start thought mayb accid would turn didn hand use airport also problem tri return phone ship label sent roundli taken foot pay around you better buy new phone appl end cheaper around paid 780 phone unlock appl dont wast money,Negetive
Review 59,got phone two day rather five standard ship day happi came sooner expect nervou order renew phone onlin didn want spend 700 phone know damag in happi say came like brand new debt scratch in happi made choic save almost 300 order appl webster would definit take chanc look buy phone phone came differ box charg foi,Positive
Review 60,review base renew statu phone phone previous purchas renew galaxi phone amazon phone practic new small fraction price came origin box accessori thought it worth save 100 sinc last experi went well unfortun phone receiv visibl use scratch glitter side phone without deep crack screen batteri health lower side phone also came genet box genet accessori expect sinc item descript look get renew price seem like poor deal thank amazon longer return period phone doesn work need minut phone know id rather buy new phone appl 100,Negetive
Review 61,dislik didn receiv headphon order everyth el point,Negetive
Review 62,in pleasantli surpris transact in true septic regularli conduct extens research make type purchas phone doesn come origin pack cord wall adapt definit appl product u connect wall adapt bent could slide u adapterthat toss trash said product care phone exactli advertis stare right went start process entir phone transfer within hour way give use 4 day batteri life strong featur work perfectli sticki button etc would definit recommend vendor care get phone suppos your concern pack uniqu appl experi may want pay addit 400 appl store,Neutral
Review 63,donna lie read review littl resist buy renew phone end in super glad phone came day earlier expect nice packag alreadi screen protector appli bubbl set transfer old 6 simpl got appl watch transfer camera work great face id issu far etc obvious le day far good,Positive
Review 64,donna lie littl skeptic first in like sang realli spend much money scar in happi result batteri health 100 phone perfect condit came new charg headphon the troubl transfer data old phone new one didn even need call carrier turn phone simpli place him card definit recommend dont mind price ll,Positive
Review 65,phone came scratch put screen protector can see whenev put screen protector gone like bubbl put bubbl seem go away overal good guess doesn coutur in satisfi guess price should lower sinc refurbish still come mail kind mess face recognit work fine batteri fine set good took 5 mind,Negetive
Review 66,cheapest phone 11 128gb could find onlin clot search great buy love new phone camera qualiti amaz,Negetive
Review 67,refurbish got brand new appl box origin charg miss ear plug,Positive
Review 68,phone came great condit work great law issu batteri life great well in happi qualiti phone in happi purchas,Positive
Review 69,paid 720 screen scratch bought shop,Neutral
Review 70,user friendli might return learn clean send back load pictur phone,Neutral
Review 71,gave phone anoth chanc kept twitch definit phone alreadi came crack side lock button guess that phone wont power complet motiv second final get phone activ let die day turn phone proper motiv final start work gotten screen protector phone case phone 11 work four day phone could longer convers phone could answer phone peopl could hear couldn hear shortli phone would hang say call fail peacetim front camera twitch video give enough phone call straight talk morn minut transfer phone take screen protector case take new aim card return phone today full refund second time purchas phone amazon time phone defect stitch anna say order anymor phone onlin first time shame second time shame third peopl plea read review care person sell phone care fix phone that broke tri sell think they found dummi wont return phone littl time today get refund today ill give phone one star phone take nice back pictur that,Neutral
Review 72,product came time fashion like came charg head though charg origin can complain price pay great deal phone great condit,Positive
Review 73,honesti greatli appreci day deliv exactli promis phone arriv time look brand new everyth work smoothli expect unfortun want thrill phone size alway like larger phone contract seller refund kindli instruct return item order get full refund back card far good complaint would definit busi peopl,Positive
Review 74,receiv phone look good charg overnight screen jumbl blur vertic line amazon insist deal seller could clear phone screen didn work commun seller scrape never realli answer question sent phone back seller refus 1 kept 99 restor fee forc amazon deal get full refund horribl seller buyer bewar,Positive
Review 75,replac glass side phone scratch refurbish tabl includ aftermarket realli plea way phone look favor spend extra money new one,Neutral
Review 76,face id work tri everyth fix wouldn buy di seller,Neutral
Review 77,bit skeptic buy phone renew amazon instead new worri soon gone phone came without damag 100 batteri health besid get offici phone box earphon still receiv work chargerpow adapt screen protector instal phone alreadi satisfi purchas,Neutral
Review 78,way leav 0 star would got phone mail super excit get run wouldn turn call appl call 30 mind couldn help get phone either needle say ill return phone without even get chanc use,Neutral
Review 79,got phone 11 today anxiou use wait 2 hour everyth set messag pop say phone screen may genuin creak suppos portug right well appar screen authent hope review evid work all scan phone program call tool hope work,Negetive
Review 80,phone doesn work provid say realli wish id paid attent star rate bought tproo phone great condit work wellcon realli unlock weird hardwar configur wont connect provid said would horizon network bought phone could switch spring didn work spring contract seller support gave lot thing tri tri long enough return window pas basic said bad mein id spend littl get someth work properli return phone got anoth,Negetive
Review 81,request exchang phone got rest time tri set like red ad wife password set like countri prompt etc made return process easi ill give drop got exchang item exact phone sent back know recogn small set cuff top right hand corner ask want color specifi avail id even take white better option replac littl back stick came clean first time receiv arriv dirti like phone get they case random dustgunk kind accumul ad fanci gold charg cord instead play white one pay 400 renew phone like one id say overpr base price phone look charg phone say in disappoint say least batteri life 86 renew phone plu order 2 year ago somewher similar came 97 batteri life that high hope would fine order renewedwil order time come get differ phone give learn lesson,Negetive
Review 82,look amazon renew phone coupl week skeptic order renew phone decid phone or saw phone 11 30 put cart procrastin order coupl hour partli review time decid go sinc could sent back check crack into day suppos deliv saw review post day becam concern made bad decis prepar disappoint arriv batteri complet dead put charg didn look like charg concern 30 minut enough batteri power haven issu far good bought brand new cosmet flaw anywher plea far,Negetive
Review 83,perfect even screen protector,Positive
Review 84,medium could load edit seller provid copi report show compon dem simpli oversight qualiti control seller understand sinc notic upon angl inspectionthi phone actual look amaz bare scratch case screen appear wonder held angl see video clip crippl marbl screen obvious none qualiti replac job like poorli complet job sellerwhen appli screen protector becam horribl notic protector couldn fulli adher leav bubbl couldn rub underli screen want smooth disast wast 2 protectorssad part and return phone first origin glass pretti scratch worth 500 return return purchas differ seller lesson learn spend 50 buy new applecom,Positive
Review 85,desper need new phone phone start give old phone outdat phone 7 start mani problem trust much research look type new phone get look month end old phone still good condit phone 11 honestli best purchas got new improv dont ever anna switch back samson give gotten use home button first got didn know use best part got phone 11 unlock work straight talk in pretti pump thatthank,Neutral
Review 86,seem like new thing didn like want origin box didn even last three month screen start beg sinc refurbish seller wont help snap give refund in mad upset 700 dust phone 11 rip dont buy product broken phone better buy new one wont even swap anyth like want full refund n send back unpleas,Neutral
Review 87,phone 11 son bought buyspri technic work sen expens digit camera upon phone august contract phone servic provid affin mobil said phone flag asia possibl counterfeit therefor unabl system check horizon att mobil me answer nobodi want phone system contact buyspri ask me immedi sent shout u sinc return window son wast money,Neutral
Review 88,great phone came two day great upgrad 8 plu ador deliv door two day conveni instead wait appl store like usual buy amazon,Positive
Review 89,keep mind item refurbish mean someon el may screen cover alreadi knock chip base experi there huge chanc could open repair phone open water resist seal want seal correctli may lose water resist rate phone there small chanc happen could still happen good thing extend 90 day return polici come amazon refurbish return amazon offer unlock new phone would go rout unfortun dont,Positive
Review 90,receiv purpl phone 11 perfect shape scratch crack beauti upgrad phone 7 plu wonder transit easi transfer into phone phone quick ship receiv day earli would hesit buy use,Positive
Review 91,aw frustrat month long experi save ton grief aggrav buy phone whole experi tragic phone absolut complet total piec worthless june key board didn work constantli froze mute whenev felt like initi return process hast import everyth onto revers process realiz phone posse contract compani big solut take phone local repair shop like pair shoe get estim repair send said estim would reimburs repair cost estim like way ludacri absurd solut final get amazon custom servic involv 6 phone call span week nice drive phone 45 minut up drop spot final got refund full price paid call amazon again get fulli rectifi even amazon repres said total bonu respons propos solut seller buy rd parti seller item futur lesson learn dont wast time compani sell june make hard possibl return refund one month still dont phone wait till black friday point buy new,Neutral
Review 92,speaker blown crackl can not hear bad,Neutral
Review 93,purchas phone took toil devic wouldn allow activ toil spoke custom care person seller couldn get work told send back per it one dont anymor least price ask go said noth receiv devic credit me end buy new one unopen unus toil 599 yeah 113 unus time actual work least guarante anoth one price least someth troubl custom care person nice polit reiter noth happen unfortun wouldn recommend compani new amazon renew store least stand product guarante satisfact,Neutral
Review 94,perfect condit arriv charg cabl earphon descript said didn includ great purchas current use write review,Neutral
Review 95,phone great condit except screen screen notic damag deep scratch want includ descript def worth full price phone overal rather send back guess in deal w,Negetive
Review 96,extrem disappoint wast time money phone compat mobil spring bewar buyer updat seller fix issu updat custom servic contract inspir say 3 time want return plea send label kept wast time ask want proceed alreadi tell email seem go circl instead say ok sorri label cours agent open weekend 700 phone even longer appreci happi right hope rectifi send label sap ok,Negetive
Review 97,excel shape look brand new batteri health 100 came perfectli pad charg cord wall charg great buy doesn seem renew appear new,Negetive
Review 98,purchas phone 11 said unlock search phone a put boost mobil find phone isn compat boost mobil in realli upset pas spent almost 800 phone plu ship handl find phone isn even compat boost get refund credit someth,Neutral
Review 99,brought three phone famili work okay month month use becom disast came batteri problem phone would liter shut in import call extrem hot batteri want hold charg person replac batteri origin batteri thing occur reason couldn return countri wouldn abl return time,Negetive
Review 100,send first phone back scratch area screen size quarter call amazon got replac order right away problem amazon renew guaranteesecond phone come liter scratch area one didn know better would thought phone base scratch area decid put screen protector see minim scratch did believ scratch part return process someth would realli prefer seller done better c didn want send back anoth time kept phone give 3 star good price respons seller amazon good work wife phone anoth seller didn screen scratch issu didbatteri life seem good issu phone feel like scratch screen kind big deal though sinc screen phone basic also want stuff could ever slightli catch finger nail tri rub,Neutral
Review 101,first time buy phone onlin upgrad phone 7 product came exactli advertis work realli well littl skeptic buy work great problem ship quick,Neutral
Review 102,phone came excel condit look like new 100 batteri work great,Positive
Review 103,excit look forward receiv new phone in feel should paid extra 50 buy new phone appl directli first glanc phone look great came screen protector notic scratchesdamag phone physic set phone one first thing notic loud sound sound qualiti audit low mute ratif ring still loud got first phone call that becom disappoint difficult hear understand person phone switch speaker listen sound sticki like weren plug correctli speaker wrong place in afraid go appl store get batteri replac sinc batteri arriv 88 health give play phone 6 hour found question thing like audit issu disappoint purchas,Positive
Review 104,order phone said work mobil doesn work mobil isn unlock carrier lock differ compani can not unlock mobil accord mobil unlock origin carrier dont know big wast time money give ask refund day wait abl buy phone write review other cautiou,Neutral
Review 105,order phone 500 suppos renew fulli unlock phone upon receiv phone notic pit scratch back phone bigger sinc case upon instal him card exist boost phone phone wouldn work said servic top corner phone went boost webster tri activ notic phone 449 decid send back order boost know wont issu transfer him card exist phone,Negetive
Review 106,littl scare buy phone line realli excit came mail earlier expect sad say left side touch screen doesn work time return disappoint purchas,Positive
Review 107,plu buy back program scar tri low ball say expect amount they give you alreadi sent dont accept get back week later plu sent brand new real appl charg cabl charg kept cabl charg return phone phone trade better screen shape screen phone purchas never,Neutral
Review 108,wa skeptic get phone renew product via amazon phone dealer kid receiv coupl hundr dollar amazon gift card cash birthday want new phone didn want contract purchas best bet read review read amazon renew program seem like good deal gift card help defray cost got want perfect condit purchas warranti extra protect took retro pu mobil set without pitch use renew program save 100 cost new phone abl purchas case shield chang spare,Positive
Review 109,quit skeptic buy phone mine came mail suspicion left mine came basic new tini scratch 100 batteri life everyth work perfectli total worth th,Positive
Review 110,came defect certain part screen didn feel touch could even enter appl id didn catch certain letter keyboard especi for reason couldn pas factori set check cell phone aspect camera batteri speakerswhen contract compani told regret problem attend monday friday 900 500 pm est email ask take cell phone repair shop inquir quot diagnosi estim repair costfin told thing could give refund replac product dont stock,Negetive
Review 111,phone came screen protector scratch to seem screen protector crack remov there one huge goug anoth one stuff mark screen touch screen doesn alway work best either soon get replac send back,Positive
Review 112,now went activ phone horizon say phone report stolen girl teach support nice issu refund state phone may wipe clean previou owner either way agent suppos check thing simpli send buyer now id expect bay amazon,Neutral
Review 113,mine came dead fix 90 percent batteri life return bought new one might get lucki get like new product isn worth save 50 dollar need lower price around 100 le new make ever think buy use phone,Negetive
Review 114,phone practic new absolut sign use tini stuff besid flash back phone doesn hurt liabil bare notic batteri 100 capac packag genet box genet charg receiv alreadi screen protector phone abl set carrier immedi use straight talk transfer inform current phone one move him card current phone one process took 10 min,Negetive
Review 115,in go complet honest extrem worri spend amount money amazon said phone arriv extrem fast close brand new condit except tini nick bottom right corner phone bigger phone month absolut amaz problem highli doubt finger cross side note come origin box least mine didn person problem want give head highli recommend good luck,Positive
Review 116,littl skeptic buy phone amazon in super happi phone brand new came full batteri easi set upland fulli unlock get type phone carrier want definit would recommend peopl buy,Positive
Review 117,phone oper terribl time date never correct phone modif didn work sound crackl time would listen music anyth would crackl speaker phone didn work front flash complet foggi debt chip phone arriv tri variou method fix thing contract seller said return phone say they exchang they fix phone help return phone bought one appl 30,Negetive
Review 118,skeptic well although came faster expect perfect felt like new phone appl expect obviou reason noth differ phone expect get mine came fulli unlock work scratch crack cellar phone gener,Negetive
Review 119,perfect phone look like new unlock scratch look like got appl store ty happi phone,Positive
Review 120,love ittttt littl skeptic first love phone came charg came day earli,Positive
Review 121,love phone renew phone awesom almost 700 great buy,Positive
Review 122,phone deliv promis date well packag order sinc set run magnific absolut delight phone,Neutral
Review 123,phone work well face recognit work tri everyth noth send phone amazon get money back left without phone coupl day,Positive
Review 124,plea dont wast money phone pu definit temper malici manner sold mani month own devic reviewproswork like normal phone part doesn monthsmain camera seem real work good surprisinglyth oper system work perfectli farconscam sketch rd parti phone box rd parti chargertru depth camera face id complet remov replac face onevolum frequent bag becom quiet mess goe back normal thing overwifi cellular connect realli bad frequent start devic numer time make connect internet againupd phone complet stop work 50 batteri screen pop place left side conclus phone one biggest wast money give ever spent buy refurbish phone amazon visit review problem devic like occur,Positive
Review 125,good,Neutral
Review 126,hi everyon phone biggest amazon purchas give made dont regret resist first read horribl review phone onlin hasn disappoint yet phone arriv excel condit like brand new give almost 2 week give zero issu bought separ case screen protector give drop sever time alreadi in clumsi still held great issu touch screen batteri life amaz doubt hope review help seal deal,Positive
Review 127,62 day old bright light bottom page disappear phone freez amazon told seller send anoth one wait 3 month seller keep refus amazon promis talk get anoth one call 4 time sinc april would never buy seller amazon direct control also phone get hot hold charg long time batteri wear fast,Negetive
Review 128,absolut amaz glad made decis definit worth everi penni,Neutral
Review 129,phone came amaz shape didn come origin appl box fine didn come origin appl charg also okay still came nice lengthi charg regardless phone 100 batteri capac absolut debt scratch,Negetive
Review 130,skeptic would second purchas amazon first time order mother law turn fine physic lawless phone great batteri life hand batteri life disappoint feel like speaker bit like renew water damag possibl also phone want way unlock though use fine him card work reason wont fulli regist provid onlin chat agent horizon said phone nonverizon devic unabl clock leg question truli unlock loophol still use properli problem return storag enough comparison old phone give read hit miss return phone wish luck,Neutral
Review 131,medium could load screen left side sometim recogn touch lead look close devic look like damag piec repair devic warn look vers camera scratch frame debt mute knob time mute piecether betterrefurbish devic price one look total repair,Neutral
Review 132,bought phone first time month ago unvex keyboard work couldn even get past set second phone screen flick everi time press button good thing say return process easi terrifi check physic damag,Positive
Review 133,first appl product sinc upon still work bow suffer whole seri andro phone issu call drop bad recept call wait go directli voicemail blame carrier wrong phoneseasi use better textingfast fewer mistak intuit simpl pair accessori work effortlessli excel recept phone work time reliabl seem sturdi cheap appl person next comput appl done fight technolog want work appl,Positive
Review 134,skeptic buy renew phone phone arriv like brand new phone singl went scratch work perfectli,Neutral
Review 135,buy specif select unlock prompt select carrier hour tri activ switch servic spent anoth hour phone provid find phone lock make matter wors phone would allow log pp store transfer data ill like return phone angri everyth went buy product hast half your like go return,Negetive
Review 136,phone water proof put phone water shut extrem disappoint,Positive
Review 137,love much vendor one one yellow phone avail good price upgrad phone 8 le week due size everyth want love yellow ll also happi see screen protector alreadi phone like realli that win 4 extra case also lot faster phone 8 transfer stuff easi,Neutral
Review 138,good phone price,Positive
Review 139,absolut wonder product bought refurbish amazon warehous look perform brand new fantast product arriv one day earlier promis,Positive
Review 140,pretti worri get refurbish phone amazon definit worth buy doesn come appl box earphon phone amaz condit look brand new full batteri capac also come temper glass screen protector phone,Negetive
Review 141,phone came without scratch easi set everyth work,Positive
Review 142,buyer bewar care buy refurbish phone receiv mine suppos abl use mobil network took store link plan inform could use current regist anoth user either wipe clean stolen return receiv refund,Neutral
Review 143,in thank amazon offer phone refurbish in spend 150 month lea payment phone compani famili seven kiss want keep jone horizon offer repaid plan unlimit everyth 35 that right 35 month draft debit card go store pay phone get servic paid 150 month 35 can not amazon offer refurbish phone thank amazon thank whoever refurbish phone plea take adviceswitch repaid buy pair shoe everi month save,Negetive
Review 144,bought phone 700 coupl month appl releas phone 11 phone work right mayb 45 month everi 30 minut disabl temperatur hot phone lose connect everi 30 minut matter import need phone make call lose servic servic straight talk year soon put phone phone servic automat start give problem straight talk never led issu buy phone electron deal amazon you definit wind whole lot problem wast money,Negetive
Review 145,far good phone day deliveri process went smoothli phone look fairli new give away come appl box receiv origin appl charg use purchas price feel like get good deal definit better pay thousand origin box charg earbud believ in miss phone appear unlock use att work fine,Positive
Review 146,medium could load phone keep turn open pp keep turn worth buy return phone,Positive
Review 147,ever phone ever plea one got quarant time accident put old phone wash anyway phone excel refurbish face recognit batteri life span camera qualiti storag wouldn ask better phone would definit recommend anyon look phone 11 unford price one year phone still intact bought anoth one brother disappoint also got appl pack accessori unbeliev thought wouldn comment 10 star get phone,Negetive
Review 148,honestli review trust seller worth can complain scratch damag issu ever wild recommend anyon use retro pu carrier support phone plu get keep bill low win win,Negetive
Review 149,excel condit like new happi far,Positive
Review 150,phone 11 3 day give come realiz issu phone address sent fulli resect date phone check him card servic provid even take multipl phone repair shop check phone still complet start without warn 10 time hour devic also seem screen sensit issu sometim respond touch sever moment work top phone hasn abl locat bluetooth devic home member household easili abl connect toi honestli dont know went wrong consid good review let say your definit take chanc buy refurbish phone guess in go send one refund unfortun wast time,Positive
Review 151,love much definit upgrad sure phone 8 previous 100 cheaper appl webster peopl mention review receiv screen protector phone come charg block satisfi didn call phone compani either phone him card switch self love made process much easier go ahead buy case protector part got could buy phone case protector along phone still appl tri sell thank amazon is crack debt scratch see also came earli,Positive
Review 152,receiv phone two week ago littl nervou review give read renew phone came genet box phone insid bubbl wrap packag quickli inspect phone perfect look practic brand new also came free screen boot phone complet set phone work great far keep everyon post anyth chang,Neutral
Review 153,nice scar,Positive
Review 154,purchas speaker go 4 month fit sinc seller warranti window 3 month took best buy wouldn work intern version either pay 600 fix nou version new one knew 8 take chanc renew devic ridicul worst decis ever buy onward advic buy phone verifi aerial number fact correct version,Positive
